customer_id,account,segment,plan,start_date,mrr,new_mrr,expansion_mrr,contraction_mrr,churned_flag,churn_date,churn_reason,arpa,nrr
CUST_0001,Account_001,ENT,Enterprise,2023-06-16,49970.13,0.0,3769.21,0.0,False,,,49970.13,1.082
CUST_0002,Account_002,SMB,Professional,2024-12-27,2648.63,0.0,288.61,0.0,False,,,2648.63,1.122
CUST_0003,Account_003,ENT,Business,2025-01-24,29941.06,0.0,0.0,0.0,False,,,29941.06,1.0
CUST_0004,Account_004,SMB,Starter,2024-12-01,0.0,0.0,0.0,0.0,True,2025-03-20,Feature Gap,0.0,0.0
CUST_0005,Account_005,SMB,Business,2024-03-11,0.0,0.0,0.0,0.0,True,2024-09-16,Business Closure,0.0,0.0
CUST_0006,Account_006,SMB,Professional,2024-01-31,0.0,0.0,0.0,0.0,True,2024-12-05,Price,0.0,0.0
CUST_0007,Account_007,SMB,Business,2024-03-31,0.0,0.0,0.0,0.0,True,2024-08-26,Competition,0.0,0.0
CUST_0008,Account_008,MM,Professional,2025-02-06,6599.13,0.0,0.0,1357.37,False,,,6599.13,0.829
CUST_0009,Account_009,MM,Professional,2023-12-18,3956.91,0.0,0.0,0.0,False,,,3956.91,1.0
CUST_0010,Account_010,SMB,Business,2022-10-10,0.0,0.0,0.0,0.0,True,2022-11-24,Budget Cut,0.0,0.0
CUST_0011,Account_011,MM,Business,2025-02-02,9755.01,0.0,0.0,0.0,False,,,9755.01,1.0
CUST_0012,Account_012,MM,Enterprise,2025-07-09,45235.23,0.0,0.0,0.0,False,,,45235.23,1.0
CUST_0013,Account_013,SMB,Business,2025-08-26,4386.39,0.0,0.0,0.0,False,,,4386.39,1.0
CUST_0014,Account_014,ENT,Enterprise,2023-11-26,0.0,0.0,0.0,0.0,True,2024-03-14,Business Closure,0.0,0.0
CUST_0015,Account_015,MM,Professional,2022-11-20,7751.84,0.0,1274.35,0.0,False,,,7751.84,1.197
CUST_0016,Account_016,ENT,Enterprise,2023-03-15,0.0,0.0,0.0,0.0,True,2025-01-16,Competition,0.0,0.0
CUST_0017,Account_017,ENT,Business,2024-10-07,0.0,0.0,0.0,0.0,True,2025-07-25,Merger,0.0,0.0
CUST_0018,Account_018,ENT,Custom,2024-06-30,0.0,0.0,0.0,0.0,True,2024-11-20,Budget Cut,0.0,0.0
CUST_0019,Account_019,MM,Business,2025-08-10,16169.51,0.0,0.0,0.0,False,,,16169.51,1.0
CUST_0020,Account_020,SMB,Business,2024-12-06,0.0,0.0,0.0,0.0,True,2025-08-20,Feature Gap,0.0,0.0
CUST_0021,Account_021,SMB,Business,2023-06-29,0.0,0.0,0.0,0.0,True,2023-08-12,Feature Gap,0.0,0.0
CUST_0022,Account_022,MM,Enterprise,2023-12-09,45043.75,0.0,0.0,0.0,False,,,45043.75,1.0
CUST_0023,Account_023,ENT,Custom,2024-01-13,506561.31,0.0,94007.8,0.0,False,,,506561.31,1.228
CUST_0024,Account_024,ENT,Business,2023-05-26,39478.69,0.0,0.0,0.0,False,,,39478.69,1.0
CUST_0025,Account_025,ENT,Enterprise,2023-09-26,85468.3,0.0,0.0,0.0,False,,,85468.3,1.0
CUST_0026,Account_026,MM,Professional,2023-08-20,0.0,0.0,0.0,0.0,True,2023-11-07,Support,0.0,0.0
CUST_0027,Account_027,MM,Business,2023-03-04,0.0,0.0,0.0,0.0,True,2024-07-09,Budget Cut,0.0,0.0
CUST_0028,Account_028,MM,Business,2023-04-05,12997.97,0.0,1133.14,0.0,False,,,12997.97,1.096
CUST_0029,Account_029,SMB,Starter,2023-05-28,0.0,0.0,0.0,0.0,True,2023-09-05,Feature Gap,0.0,0.0
CUST_0030,Account_030,ENT,Custom,2025-06-03,236613.89,0.0,0.0,14055.16,False,,,236613.89,0.944
CUST_0031,Account_031,MM,Enterprise,2023-07-07,34076.03,0.0,5292.22,0.0,False,,,34076.03,1.184
CUST_0032,Account_032,MM,Business,2023-03-04,10870.59,0.0,0.0,0.0,False,,,10870.59,1.0
CUST_0033,Account_033,MM,Professional,2022-10-08,0.0,0.0,0.0,0.0,True,2023-11-19,Competition,0.0,0.0
CUST_0034,Account_034,ENT,Business,2024-05-05,0.0,0.0,0.0,0.0,True,2024-11-05,Business Closure,0.0,0.0
CUST_0035,Account_035,SMB,Starter,2024-03-19,0.0,0.0,0.0,0.0,True,2024-08-25,Feature Gap,0.0,0.0
CUST_0036,Account_036,SMB,Business,2023-11-23,0.0,0.0,0.0,0.0,True,2025-02-02,Business Closure,0.0,0.0
CUST_0037,Account_037,SMB,Professional,2022-10-02,0.0,0.0,0.0,0.0,True,2025-05-28,Feature Gap,0.0,0.0
CUST_0038,Account_038,ENT,Business,2023-08-06,0.0,0.0,0.0,0.0,True,2025-01-27,Business Closure,0.0,0.0
CUST_0039,Account_039,MM,Professional,2024-11-02,0.0,0.0,0.0,0.0,True,2025-06-08,Support,0.0,0.0
CUST_0040,Account_040,SMB,Starter,2024-07-21,0.0,0.0,0.0,0.0,True,2024-11-01,Business Closure,0.0,0.0
CUST_0041,Account_041,MM,Enterprise,2024-02-12,0.0,0.0,0.0,0.0,True,2024-10-26,Budget Cut,0.0,0.0
CUST_0042,Account_042,SMB,Professional,2024-12-19,1909.53,0.0,0.0,0.0,False,,,1909.53,1.0
CUST_0043,Account_043,SMB,Business,2023-04-23,0.0,0.0,0.0,0.0,True,2025-04-28,Business Closure,0.0,0.0
CUST_0044,Account_044,ENT,Business,2023-04-08,0.0,0.0,0.0,0.0,True,2024-09-16,Feature Gap,0.0,0.0
CUST_0045,Account_045,SMB,Business,2024-12-20,7071.55,0.0,179.9,0.0,False,,,7071.55,1.026
CUST_0046,Account_046,SMB,Starter,2023-09-26,0.0,0.0,0.0,0.0,True,2025-06-21,Competition,0.0,0.0
CUST_0047,Account_047,MM,Business,2024-07-28,10980.81,0.0,0.0,508.5,False,,,10980.81,0.956
CUST_0048,Account_048,SMB,Professional,2025-07-25,1957.19,0.0,0.0,0.0,False,,,1957.19,1.0
CUST_0049,Account_049,SMB,Business,2025-06-30,5772.19,0.0,0.0,0.0,False,,,5772.19,1.0
CUST_0050,Account_050,SMB,Starter,2024-11-25,0.0,0.0,0.0,0.0,True,2025-02-11,Merger,0.0,0.0
CUST_0051,Account_051,ENT,Business,2025-02-25,30769.93,0.0,0.0,0.0,False,,,30769.93,1.0
CUST_0052,Account_052,ENT,Business,2023-01-02,40300.72,0.0,736.64,172.29,False,,,40300.72,1.014
CUST_0053,Account_053,ENT,Custom,2023-11-01,116470.56,0.0,0.0,0.0,False,,,116470.56,1.0
CUST_0054,Account_054,MM,Business,2024-03-04,12250.24,0.0,2225.4,0.0,False,,,12250.24,1.222
CUST_0055,Account_055,ENT,Enterprise,2025-09-25,50746.45,50746.45,0.0,0.0,False,,,50746.45,1.0
CUST_0056,Account_056,SMB,Starter,2025-09-30,947.07,947.07,0.0,0.0,False,,,947.07,1.0
CUST_0057,Account_057,SMB,Starter,2024-06-08,0.0,0.0,0.0,0.0,True,2025-01-21,Merger,0.0,0.0
CUST_0058,Account_058,ENT,Enterprise,2023-02-20,64099.75,0.0,0.0,4551.55,False,,,64099.75,0.934
CUST_0059,Account_059,MM,Business,2024-02-19,19147.1,0.0,0.0,0.0,False,,,19147.1,1.0
CUST_0060,Account_060,SMB,Business,2024-02-03,3057.82,0.0,0.0,0.0,False,,,3057.82,1.0
CUST_0061,Account_061,ENT,Business,2025-04-19,24123.47,0.0,0.0,0.0,False,,,24123.47,1.0
CUST_0062,Account_062,MM,Enterprise,2023-05-08,0.0,0.0,0.0,0.0,True,2024-05-24,Competition,0.0,0.0
CUST_0063,Account_063,ENT,Enterprise,2023-05-28,0.0,0.0,0.0,0.0,True,2023-07-24,Budget Cut,0.0,0.0
CUST_0064,Account_064,ENT,Business,2025-04-06,16938.98,0.0,0.0,0.0,False,,,16938.98,1.0
CUST_0065,Account_065,SMB,Professional,2025-05-02,2446.17,0.0,0.0,0.0,False,,,2446.17,1.0
CUST_0066,Account_066,SMB,Starter,2025-02-09,509.95,0.0,0.0,0.0,False,,,509.95,1.0
CUST_0067,Account_067,MM,Professional,2023-08-01,7008.85,0.0,0.0,0.0,False,,,7008.85,1.0
CUST_0068,Account_068,MM,Professional,2024-12-27,0.0,0.0,0.0,0.0,True,2025-07-20,Support,0.0,0.0
CUST_0069,Account_069,SMB,Business,2023-10-03,0.0,0.0,0.0,0.0,True,2024-01-14,Budget Cut,0.0,0.0
CUST_0070,Account_070,SMB,Professional,2022-11-07,0.0,0.0,0.0,0.0,True,2024-12-28,Support,0.0,0.0
CUST_0071,Account_071,SMB,Professional,2025-04-12,0.0,0.0,0.0,0.0,True,2025-06-19,Business Closure,0.0,0.0
CUST_0072,Account_072,MM,Professional,2025-08-17,0.0,0.0,0.0,0.0,True,2025-09-27,Competition,0.0,0.0
CUST_0073,Account_073,MM,Business,2024-05-15,10107.47,0.0,0.0,0.0,False,,,10107.47,1.0
CUST_0074,Account_074,SMB,Starter,2025-05-04,0.0,0.0,0.0,0.0,True,2025-07-06,Support,0.0,0.0
CUST_0075,Account_075,MM,Enterprise,2022-12-07,41173.41,0.0,0.0,0.0,False,,,41173.41,1.0
CUST_0076,Account_076,MM,Enterprise,2024-04-20,0.0,0.0,0.0,0.0,True,2025-04-22,Business Closure,0.0,0.0
CUST_0077,Account_077,SMB,Business,2022-12-18,0.0,0.0,0.0,0.0,True,2024-08-22,Price,0.0,0.0
CUST_0078,Account_078,MM,Professional,2022-10-24,0.0,0.0,0.0,0.0,True,2023-06-04,Price,0.0,0.0
CUST_0079,Account_079,MM,Enterprise,2025-07-30,49931.75,0.0,0.0,0.0,False,,,49931.75,1.0
CUST_0080,Account_080,MM,Business,2024-02-09,0.0,0.0,0.0,0.0,True,2025-06-08,Budget Cut,0.0,0.0
CUST_0081,Account_081,SMB,Professional,2025-05-23,2797.28,0.0,0.0,0.0,False,,,2797.28,1.0
CUST_0082,Account_082,MM,Business,2024-07-06,13357.31,0.0,0.0,0.0,False,,,13357.31,1.0
CUST_0083,Account_083,MM,Enterprise,2023-07-20,0.0,0.0,0.0,0.0,True,2025-09-26,Support,0.0,0.0
